protocol,port,description
TCP,0,Reserved
UDP,0,Reserved
TCP,1,TCP Port Service Multiplexer
UDP,1,TCP Port Service Multiplexer
TCP,2,Management Utility
UDP,2,Management Utility
TCP,3,Compression Process
UDP,3,Compression Process
TCP,4,Unassigned
UDP,4,Unassigned
TCP,5,Remote Job Entry
UDP,5,Remote Job Entry
TCP,6,Unassigned
UDP,6,Unassigned
TCP,7,Echo
UDP,7,Echo
TCP,8,Unassigned
UDP,8,Unassigned
TCP,9,Discard
UDP,9,Discard
SCTP,9,Discard
DCCP,9,Discard
TCP,10,Unassigned
UDP,10,Unassigned
TCP,11,Active Users
UDP,11,Active Users
TCP,12,Unassigned
UDP,12,Unassigned
TCP,13,Daytime
UDP,13,Daytime
TCP,14,Unassigned
UDP,14,Unassigned
TCP,15,Unassigned [was netstat]
UDP,15,Unassigned
TCP,16,Unassigned
UDP,16,Unassigned
TCP,17,Quote of the Day
UDP,17,Quote of the Day
TCP,18,Message Send Protocol (historic)
UDP,18,Message Send Protocol (historic)
TCP,19,Character Generator
UDP,19,Character Generator
TCP,20,File Transfer [Default Data]
UDP,20,File Transfer [Default Data]
SCTP,20,FTP
TCP,21,File Transfer Protocol [Control]
UDP,21,File Transfer Protocol [Control]
SCTP,21,FTP
TCP,22,The Secure Shell (SSH) Protocol
UDP,22,The Secure Shell (SSH) Protocol
SCTP,22,SSH
TCP,23,Telnet
UDP,23,Telnet
TCP,24,any private mail system
UDP,24,any private mail system
TCP,25,Simple Mail Transfer
UDP,25,Simple Mail Transfer
TCP,26,Unassigned
UDP,26,Unassigned
TCP,27,NSW User System FE
UDP,27,NSW User System FE
TCP,28,Unassigned
UDP,28,Unassigned
TCP,29,MSG ICP
UDP,29,MSG ICP
TCP,30,Unassigned
UDP,30,Unassigned
TCP,31,MSG Authentication
UDP,31,MSG Authentication
TCP,32,Unassigned
UDP,32,Unassigned
TCP,33,Display Support Protocol
UDP,33,Display Support Protocol
TCP,34,Unassigned
UDP,34,Unassigned
TCP,35,any private printer server
UDP,35,any private printer server
TCP,36,Unassigned
UDP,36,Unassigned
TCP,37,Time
UDP,37,Time
TCP,38,Route Access Protocol
UDP,38,Route Access Protocol
TCP,39,Resource Location Protocol
UDP,39,Resource Location Protocol
TCP,40,Unassigned
UDP,40,Unassigned
TCP,41,Graphics
UDP,41,Graphics
TCP,42,Host Name Server
UDP,42,Host Name Server
TCP,43,Who Is
UDP,43,Who Is
TCP,44,MPM FLAGS Protocol
UDP,44,MPM FLAGS Protocol
TCP,45,Message Processing Module [recv]
UDP,45,Message Processing Module [recv]
TCP,46,MPM [default send]
UDP,46,MPM [default send]
TCP,47,Reserved
UDP,47,Reserved
TCP,48,Digital Audit Daemon
UDP,48,Digital Audit Daemon
TCP,49,Login Host Protocol (TACACS)
UDP,49,Login Host Protocol (TACACS)
TCP,50,Remote Mail Checking Protocol
UDP,50,Remote Mail Checking Protocol
TCP,52,XNS Time Protocol
UDP,52,XNS Time Protocol
TCP,53,Domain Name Server
UDP,53,Domain Name Server
TCP,54,XNS Clearinghouse
UDP,54,XNS Clearinghouse
TCP,55,ISI Graphics Language
UDP,55,ISI Graphics Language
TCP,56,XNS Authentication
UDP,56,XNS Authentication
TCP,57,any private terminal access
UDP,57,any private terminal access
TCP,58,XNS Mail
UDP,58,XNS Mail
TCP,59,any private file service
UDP,59,any private file service
TCP,60,Unassigned
UDP,60,Unassigned
TCP,61,Reserved
UDP,61,Reserved
TCP,62,ACA Services
UDP,62,ACA Services
TCP,63,whois++
UDP,63,whois++
TCP,64,Communications Integrator (CI)
UDP,64,Communications Integrator (CI)
TCP,65,TACACS-Database Service
UDP,65,TACACS-Database Service
TCP,66,Oracle SQL*NET
UDP,66,Oracle SQL*NET
TCP,67,Bootstrap Protocol Server
UDP,67,Bootstrap Protocol Server
TCP,68,Bootstrap Protocol Client
UDP,68,Bootstrap Protocol Client
TCP,69,Trivial File Transfer
UDP,69,Trivial File Transfer
TCP,70,Gopher
UDP,70,Gopher
TCP,71,Remote Job Service
UDP,71,Remote Job Service
TCP,72,Remote Job Service
UDP,72,Remote Job Service
